Date,Team_H,Score_H,Score_A,Team_A,Location,Season
Sun 8 March,West Coast Fever,67,51,Northern Mystics,HBF Stadium,2015.0
Sun 8 March,Central Pulse,46,52,Queensland Firebirds,Te Rauparaha Arena,2015.0
Mon 9 March,Waikato Bay of Plenty Magic,43,48,New South Wales Swifts,ASB Arena,2015.0
Sat 14 March,West Coast Fever,67,60,Southern Steel,HBF Stadium,2015.0
Sun 15 March,New South Wales Swifts,47,47,Queensland Firebirds,Sydney Olympic Park Sports Centre,2015.0
Sun 15 March,Adelaide Thunderbirds,51,51,Northern Mystics,Netball SA Stadium,2015.0
Sun 15 March,Waikato Bay of Plenty Magic,48,51,Melbourne Vixens,ASB Arena,2015.0
Mon 16 March,Mainland Tactix,41,48,Central Pulse,Horncastle Arena,2015.0
Sun 22 March,Adelaide Thunderbirds,47,45,Melbourne Vixens,Netball SA Stadium,2015.0
Sun 22 March,Waikato Bay of Plenty Magic,52,49,Mainland Tactix,Claudelands Arena,2015.0
Mon 23 March,Northern Mystics,49,44,Central Pulse,The Trusts Arena,2015.0
Mon 23 March,New South Wales Swifts,59,59,West Coast Fever,Sydney Olympic Park Sports Centre,2015.0
Fri 1 April,Northern Mystics,57,58,Southern Steel,The Trusts Arena,2016.0
Fri 1 April,Queensland Firebirds,70,55,Canterbury Tactix,Brisbane Convention and Exhibition Centre,2016.0
Sat 2 April,West Coast Fever,63,44,Adelaide Thunderbirds,HBF Stadium,2016.0
Sun 3 April,New South Wales Swifts,57,42,Melbourne Vixens,Sydney Olympic Park Sports Centre,2016.0
Mon 4 April,Central Pulse,57,56,Waikato Bay of Plenty Magic,TSB Bank Arena,2016.0
Sat 9 April,New South Wales Swifts,78,50,Waikato Bay of Plenty Magic,Sydney Olympic Park Sports Centre,2016.0
Sun 10 April,Adelaide Thunderbirds,44,59,Melbourne Vixens,Titanium Security Arena,2016.0
Sun 10 April,Southern Steel,58,58,Canterbury Tactix,Stadium Southland,2016.0
Mon 11 April,Northern Mystics,44,54,West Coast Fever,The Trusts Arena,2016.0
Mon 11 April,Queensland Firebirds,61,45,Central Pulse,Brisbane Convention and Exhibition Centre,2016.0
Sat 16 April,Melbourne Vixens,47,58,Queensland Firebirds,Hisense Arena,2016.0
Sun 17 April,New South Wales Swifts,68,44,Adelaide Thunderbirds,Sydney Olympic Park Sports Centre,2016.0
Sun 17 April,West Coast Fever,64,50,Canterbury Tactix,HBF Stadium,2016.0
Sun 17 April,Waikato Bay of Plenty Magic,53,63,Southern Steel,Energy Events Centre,2016.0
Mon 18 April,Central Pulse,52,52,Northern Mystics,TSB Bank Arena,2016.0
Sat 23 April,Adelaide Thunderbirds,46,58,Queensland Firebirds,Priceline Stadium,2016.0
Sun 24 April,West Coast Fever,52,63,New South Wales Swifts,HBF Stadium,2016.0
Sun 24 April,Southern Steel,67,54,Central Pulse,Stadium Southland,2016.0
Mon 25 April,Canterbury Tactix,56,55,Northern Mystics,Horncastle Arena,2016.0
18 Feb,Giants Netball,58,53,New South Wales Swifts,Sydney Olympic Park Sports Centre,2017.0
18 Feb,Melbourne Vixens,58,55,Collingwood Magpies,Hisense Arena,2017.0
18 Feb,Queensland Firebirds,56,56,Sunshine Coast Lightning,Brisbane Entertainment Centre,2017.0
19 Feb,Adelaide Thunderbirds,56,51,West Coast Fever,Priceline Stadium,2017.0
25 Feb,New South Wales Swifts,54,44,Adelaide Thunderbirds,Qudos Bank Arena,2017.0
25 Feb,Giants Netball,66,51,West Coast Fever,Qudos Bank Arena,2017.0
25 Feb,Queensland Firebirds,50,54,Collingwood Magpies,Brisbane Convention & Exhibition Centre,2017.0
26 Feb,Sunshine Coast Lightning,58,52,Melbourne Vixens,University of the Sunshine Coast Stadium,2017.0
3 Mar,West Coast Fever,47,60,Queensland Firebirds,Perth Arena,2017.0
4 Mar,Collingwood Magpies,51,59,Giants Netball,Hisense Arena,2017.0
4 Mar,Melbourne Vixens,59,59,New South Wales Swifts,Hisense Arena,2017.0
5 Mar,Adelaide Thunderbirds,42,51,Sunshine Coast Lightning,Priceline Stadium,2017.0
10 Mar,Queensland Firebirds,62,53,New South Wales Swifts,Brisbane Convention & Exhibition Centre,2017.0
11 Mar,Melbourne Vixens,56,45,West Coast Fever,Hisense Arena,2017.0
11 Mar,Sunshine Coast Lightning,54,55,Giants Netball,University of the Sunshine Coast Stadium,2017.0
12 Mar,Collingwood Magpies,64,45,Adelaide Thunderbirds,Hisense Arena,2017.0
17 Mar,West Coast Fever,50,45,New South Wales Swifts,HBF Stadium,2017.0
18 Mar,Queensland Firebirds,50,66,Melbourne Vixens,Brisbane Entertainment Centre,2017.0
18 Mar,Sunshine Coast Lightning,51,50,Collingwood Magpies,Brisbane Entertainment Centre,2017.0
19 Mar,Giants Netball,53,38,Adelaide Thunderbirds,AIS Arena,2017.0
24 Mar,West Coast Fever,49,66,Sunshine Coast Lightning,HBF Stadium,2017.0
25 Mar,Melbourne Vixens,59,51,Giants Netball,Hisense Arena,2017.0
25 Mar,Adelaide Thunderbirds,39,49,Queensland Firebirds,Titanium Security Arena,2017.0
26 Mar,New South Wales Swifts,54,55,Collingwood Magpies,Sydney Olympic Park Sports Centre,2017.0
1 Apr,New South Wales Swifts,56,59,Giants Netball,Sydney Olympic Park Sports Centre,2017.0
1 Apr,West Coast Fever,57,40,Adelaide Thunderbirds,Perth Arena,2017.0
2 Apr,Sunshine Coast Lightning,60,49,Queensland Firebirds,University of the Sunshine Coast Stadium,2017.0
2 Apr,Collingwood Magpies,56,60,Melbourne Vixens,Hisense Arena,2017.0
7 Apr,Collingwood Magpies,56,43,West Coast Fever,Hisense Arena,2017.0
8 Apr,Queensland Firebirds,51,55,Giants Netball,Gold Coast Convention & Exhibition Centre,2017.0
8 Apr,Adelaide Thunderbirds,54,75,Melbourne Vixens,Priceline Stadium,2017.0
9 Apr,New South Wales Swifts,50,55,Sunshine Coast Lightning,Sydney Olympic Park Sports Centre,2017.0
22 Apr,Sunshine Coast Lightning,59,50,Adelaide Thunderbirds,Brisbane Entertainment Centre,2017.0
22 Apr,Queensland Firebirds,55,50,West Coast Fever,Brisbane Entertainment Centre,2017.0
23 Apr,Giants Netball,56,59,Collingwood Magpies,Qudos Bank Arena,2017.0
23 Apr,New South Wales Swifts,54,62,Melbourne Vixens,Qudos Bank Arena,2017.0
29 Apr,Melbourne Vixens,70,59,Sunshine Coast Lightning,Margaret Court Arena,2017.0
29 Apr,Adelaide Thunderbirds,48,51,New South Wales Swifts,Titanium Security Arena,2017.0
30 Apr,Collingwood Magpies,61,59,Queensland Firebirds,Silverdome,2017.0
30 Apr,West Coast Fever,45,48,Giants Netball,HBF Stadium,2017.0
5 May,New South Wales Swifts,50,48,West Coast Fever,Sydney Olympic Park Sports Centre,2017.0
6 May,Melbourne Vixens,66,55,Queensland Firebirds,Hisense Arena,2017.0
6 May,Collingwood Magpies,49,56,Sunshine Coast Lightning,Hisense Arena,2017.0
